Epoch,Train_Loss,Val_Score
1,1.4759,0.1527
2,1.2431,0.1527
3,1.0258,0.0146
4,0.8990,0.1559
5,0.7708,0.1548
6,0.7198,0.1569
7,0.6795,0.1595
8,0.6361,0.1620
9,0.5892,0.1447
10,0.5545,0.1133
11,0.5246,0.0821
12,0.4965,0.0533
13,0.4622,0.0112
14,0.4382,0.0473
15,0.4192,0.0068
16,0.4128,0.0116
17,0.4202,0.0251
18,0.4097,0.0454
19,0.4107,0.0603
20,0.4049,0.0615
21,0.4019,0.0726
22,0.3995,0.0609
23,0.4007,0.0510
24,0.3985,0.0470
25,0.4032,0.0631
26,0.3988,0.0774
27,0.4047,0.0906
28,0.4001,0.0929
29,0.4012,0.0806
30,0.3963,0.0829
31,0.3975,0.0804
32,0.4053,0.0833
33,0.4046,0.0774
34,0.4026,0.0795
35,0.3929,0.0742
36,0.4073,0.0763
37,0.4030,0.0952
