Epoch,Train_Loss,Val_Score
266,0.3279,0.4780
267,0.3296,0.4730
268,0.3329,0.4882
269,0.3297,0.4851
270,0.3308,0.4872
271,0.3326,0.4953
272,0.3277,0.4921
273,0.3384,0.4963
274,0.3328,0.5088
275,0.3281,0.5161
276,0.3300,0.5120
277,0.3279,0.5120
278,0.3257,0.5112
279,0.3379,0.5182
280,0.3284,0.5189
281,0.3271,0.5134
282,0.3331,0.5100
283,0.3254,0.5210
284,0.3295,0.5217
285,0.3306,0.5190
286,0.3357,0.5124
287,0.3289,0.5126
288,0.3271,0.5078
289,0.3351,0.5104
290,0.3256,0.5151
291,0.3253,0.5149
292,0.3264,0.5255
293,0.3275,0.5245
294,0.3234,0.5352
295,0.3314,0.5298
296,0.3280,0.5277
297,0.3324,0.5251
298,0.3264,0.5394
299,0.3239,0.5426
300,0.3267,0.5415
301,0.3281,0.5416
302,0.3285,0.5508
303,0.3290,0.5523
304,0.3266,0.5591
305,0.3240,0.5514
306,0.3312,0.5477
307,0.3234,0.5448
308,0.3273,0.5415
309,0.3336,0.5395
310,0.3237,0.5392
311,0.3229,0.5379
312,0.3238,0.5343
313,0.3297,0.5328
314,0.3252,0.5387
315,0.3217,0.5373
316,0.3251,0.5515
317,0.3252,0.5520
318,0.3183,0.5502
319,0.3189,0.5571
320,0.3330,0.5524
321,0.3184,0.5523
322,0.3246,0.5532
323,0.3201,0.5514
324,0.3215,0.5639
325,0.3154,0.5676
326,0.3300,0.5679
327,0.3209,0.5634
328,0.3256,0.5632
329,0.3178,0.5581
330,0.3211,0.5605
331,0.3257,0.5625
332,0.3189,0.5645
333,0.3183,0.5656
334,0.3273,0.5654
335,0.3199,0.5629
336,0.3281,0.5684
337,0.3210,0.5664
338,0.3242,0.5664
339,0.3165,0.5668
340,0.3173,0.5698
341,0.3172,0.5659
342,0.3131,0.5683
343,0.3184,0.5664
344,0.3166,0.5745
345,0.3189,0.5760
346,0.3252,0.5776
347,0.3114,0.5716
348,0.3174,0.5730
349,0.3175,0.5706
350,0.3143,0.5697
351,0.3175,0.5706
352,0.3186,0.5678
353,0.3157,0.5654
354,0.3203,0.5683
355,0.3172,0.5682
356,0.3188,0.5706
357,0.3198,0.5722
358,0.3129,0.5759
359,0.3115,0.5831
360,0.3138,0.5860
361,0.3143,0.5838
362,0.3129,0.5838
363,0.3154,0.5887
364,0.3159,0.5917
365,0.3152,0.5932
366,0.3121,0.5934
367,0.3176,0.5881
368,0.3146,0.5968
369,0.3152,0.5884
370,0.3124,0.5924
371,0.3072,0.5978
372,0.3080,0.6019
373,0.3179,0.5948
374,0.3132,0.5962
375,0.3178,0.5888
376,0.3163,0.5929
377,0.3109,0.5961
378,0.3062,0.5949
379,0.3158,0.5940
380,0.3072,0.5916
381,0.3061,0.5941
382,0.3162,0.5983
383,0.3094,0.6020
384,0.3098,0.6030
385,0.3106,0.6012
386,0.3115,0.5953
387,0.3145,0.5977
388,0.3119,0.6025
389,0.3087,0.6059
390,0.3105,0.6037
391,0.3156,0.5996
392,0.3061,0.6025
393,0.3068,0.5977
394,0.3145,0.5966
395,0.3104,0.5990
396,0.3056,0.6052
397,0.3043,0.6043
398,0.3038,0.6031
399,0.3047,0.6031
400,0.3021,0.6049
401,0.3056,0.6088
402,0.3084,0.6096
403,0.3068,0.6084
404,0.2982,0.6129
405,0.3032,0.6146
406,0.3058,0.6126
407,0.3062,0.6142
408,0.3076,0.6131
409,0.3025,0.6132
410,0.3045,0.6114
411,0.3095,0.6107
412,0.3099,0.6116
413,0.2987,0.6123
414,0.3002,0.6119
415,0.3007,0.6137
416,0.3020,0.6174
417,0.3058,0.6122
418,0.3034,0.6128
419,0.3008,0.6161
420,0.3070,0.6138
421,0.3123,0.6179
422,0.3088,0.6179
423,0.3016,0.6171
424,0.3005,0.6176
425,0.3066,0.6164
426,0.2985,0.6197
427,0.3034,0.6198
428,0.2992,0.6271
429,0.3048,0.6229
430,0.2961,0.6183
431,0.3065,0.6195
432,0.2984,0.6270
433,0.3014,0.6251
434,0.2934,0.6310
435,0.2996,0.6304
436,0.3016,0.6299
437,0.3003,0.6345
438,0.3026,0.6285
439,0.2998,0.6217
440,0.3003,0.6282
441,0.2963,0.6223
442,0.2943,0.6217
443,0.2931,0.6225
444,0.2928,0.6276
445,0.2991,0.6268
446,0.2932,0.6230
447,0.2952,0.6243
448,0.3008,0.6216
449,0.3012,0.6189
450,0.3006,0.6234
451,0.2969,0.6198
452,0.2910,0.6204
453,0.2897,0.6302
454,0.3016,0.6289
455,0.2956,0.6278
456,0.2906,0.6263
457,0.2967,0.6264
458,0.2922,0.6258
459,0.2914,0.6289
460,0.2885,0.6281
461,0.2909,0.6337
462,0.2998,0.6324
463,0.2915,0.6256
464,0.2911,0.6339
465,0.3019,0.6342
466,0.2958,0.6295
467,0.2883,0.6338
468,0.2925,0.6344
469,0.2871,0.6349
470,0.2913,0.6314
471,0.2910,0.6318
472,0.2917,0.6317
473,0.2872,0.6321
474,0.2939,0.6292
475,0.2923,0.6312
476,0.2920,0.6312
477,0.2931,0.6289
478,0.2939,0.6282
479,0.2933,0.6265
480,0.2857,0.6267
481,0.2920,0.6257
482,0.2849,0.6290
483,0.2861,0.6312
484,0.2842,0.6314
485,0.2904,0.6295
486,0.2877,0.6287
487,0.2917,0.6271
488,0.2840,0.6305
489,0.2868,0.6301
490,0.2898,0.6291
491,0.2866,0.6246
492,0.2874,0.6216
493,0.2895,0.6307
494,0.2853,0.6301
495,0.2846,0.6264
496,0.2905,0.6260
497,0.2903,0.6264
498,0.2834,0.6293
499,0.2842,0.6322
500,0.2819,0.6341
501,0.2849,0.6377
502,0.2790,0.6314
503,0.2822,0.6308
504,0.2799,0.6304
505,0.2835,0.6330
506,0.2817,0.6279
507,0.2820,0.6310
508,0.2828,0.6326
509,0.2903,0.6301
510,0.2832,0.6339
511,0.2800,0.6386
512,0.2863,0.6365
513,0.2806,0.6405
514,0.2793,0.6401
515,0.2773,0.6391
516,0.2762,0.6390
517,0.2792,0.6395
518,0.2781,0.6407
519,0.2775,0.6413
520,0.2784,0.6384
521,0.2770,0.6404
522,0.2737,0.6413
523,0.2742,0.6427
524,0.2739,0.6445
525,0.2744,0.6454
526,0.2768,0.6444
527,0.2774,0.6431
528,0.2877,0.6450
529,0.2757,0.6490
530,0.2779,0.6493
531,0.2751,0.6470
532,0.2776,0.6471
533,0.2771,0.6481
534,0.2876,0.6477
535,0.2742,0.6466
536,0.2880,0.6508
537,0.2722,0.6507
538,0.2828,0.6530
539,0.2802,0.6499
540,0.2794,0.6503
541,0.2800,0.6487
542,0.2820,0.6483
543,0.2715,0.6463
544,0.2725,0.6461
545,0.2737,0.6489
546,0.2789,0.6527
547,0.2810,0.6506
548,0.2716,0.6522
549,0.2706,0.6513
550,0.2734,0.6511
551,0.2670,0.6595
552,0.2767,0.6595
553,0.2732,0.6589
554,0.2801,0.6586
555,0.2705,0.6581
556,0.2695,0.6610
557,0.2678,0.6606
558,0.2746,0.6596
559,0.2690,0.6591
560,0.2790,0.6574
561,0.2730,0.6571
562,0.2713,0.6545
563,0.2696,0.6568
564,0.2803,0.6551
565,0.2722,0.6563
566,0.2677,0.6559
567,0.2691,0.6582
568,0.2654,0.6607
569,0.2683,0.6615
570,0.2702,0.6618
571,0.2748,0.6644
572,0.2667,0.6622
573,0.2745,0.6627
574,0.2714,0.6620
575,0.2728,0.6614
576,0.2681,0.6628
577,0.2687,0.6619
578,0.2702,0.6637
579,0.2645,0.6624
580,0.2618,0.6619
581,0.2727,0.6626
582,0.2616,0.6617
583,0.2627,0.6623
584,0.2654,0.6647
585,0.2611,0.6652
586,0.2688,0.6671
587,0.2601,0.6659
588,0.2659,0.6662
589,0.2696,0.6640
590,0.2624,0.6636
591,0.2580,0.6665
592,0.2722,0.6650
593,0.2692,0.6691
594,0.2656,0.6705
595,0.2585,0.6684
596,0.2633,0.6707
597,0.2651,0.6687
598,0.2639,0.6683
599,0.2621,0.6672
600,0.2712,0.6657
601,0.2627,0.6659
602,0.2663,0.6651
603,0.2615,0.6640
604,0.2618,0.6643
605,0.2584,0.6683
606,0.2691,0.6684
607,0.2618,0.6683
608,0.2640,0.6703
609,0.2630,0.6699
610,0.2595,0.6692
611,0.2666,0.6689
612,0.2620,0.6692
613,0.2586,0.6697
614,0.2606,0.6696
615,0.2584,0.6717
616,0.2533,0.6738
617,0.2566,0.6718
618,0.2619,0.6726
619,0.2593,0.6691
620,0.2606,0.6693
621,0.2622,0.6697
622,0.2599,0.6704
623,0.2719,0.6717
624,0.2739,0.6755
625,0.2609,0.6721
626,0.2664,0.6713
627,0.2667,0.6714
628,0.2563,0.6695
629,0.2729,0.6767
630,0.2641,0.6760
631,0.2618,0.6727
632,0.2601,0.6764
633,0.2580,0.6753
634,0.2569,0.6761
635,0.2543,0.6743
636,0.2589,0.6708
637,0.2637,0.6707
638,0.2558,0.6717
639,0.2547,0.6722
640,0.2575,0.6763
641,0.2597,0.6758
642,0.2547,0.6737
643,0.2540,0.6734
644,0.2586,0.6727
645,0.2556,0.6735
646,0.2505,0.6777
647,0.2616,0.6763
648,0.2536,0.6808
649,0.2534,0.6792
650,0.2560,0.6789
651,0.2512,0.6811
652,0.2560,0.6762
653,0.2568,0.6714
654,0.2560,0.6762
655,0.2557,0.6766
656,0.2546,0.6754
657,0.2495,0.6755
658,0.2521,0.6752
659,0.2512,0.6778
660,0.2529,0.6780
661,0.2484,0.6774
662,0.2479,0.6763
663,0.2619,0.6742
664,0.2505,0.6735
665,0.2485,0.6762
666,0.2518,0.6752
667,0.2501,0.6741
668,0.2522,0.6763
669,0.2488,0.6754
670,0.2512,0.6753
671,0.2499,0.6798
672,0.2494,0.6789
673,0.2469,0.6764
674,0.2476,0.6766
675,0.2584,0.6794
676,0.2505,0.6774
677,0.2478,0.6759
678,0.2458,0.6771
679,0.2491,0.6795
680,0.2463,0.6788
681,0.2528,0.6776
682,0.2471,0.6786
683,0.2492,0.6808
684,0.2441,0.6796
685,0.2485,0.6796
686,0.2475,0.6792
687,0.2512,0.6778
688,0.2498,0.6792
689,0.2496,0.6786
690,0.2459,0.6777
691,0.2518,0.6773
692,0.2527,0.6768
693,0.2482,0.6795
694,0.2464,0.6799
695,0.2516,0.6809
696,0.2475,0.6805
697,0.2494,0.6832
698,0.2471,0.6819
699,0.2511,0.6781
700,0.2468,0.6765
701,0.2468,0.6762
702,0.2455,0.6789
703,0.2491,0.6792
704,0.2442,0.6808
705,0.2466,0.6823
706,0.2574,0.6834
707,0.2429,0.6798
708,0.2542,0.6806
709,0.2457,0.6785
710,0.2457,0.6810
711,0.2464,0.6801
712,0.2450,0.6780
713,0.2624,0.6800
714,0.2428,0.6794
715,0.2456,0.6815
716,0.2428,0.6831
717,0.2422,0.6837
718,0.2433,0.6801
719,0.2440,0.6735
720,0.2469,0.6794
721,0.2464,0.6776
722,0.2448,0.6793
723,0.2398,0.6785
724,0.2444,0.6806
725,0.2553,0.6801
726,0.2446,0.6789
727,0.2421,0.6780
728,0.2426,0.6839
729,0.2508,0.6828
730,0.2435,0.6837
731,0.2411,0.6854
732,0.2436,0.6870
733,0.2536,0.6860
734,0.2432,0.6858
735,0.2404,0.6870
736,0.2393,0.6880
737,0.2432,0.6873
738,0.2466,0.6887
739,0.2414,0.6827
740,0.2443,0.6846
741,0.2371,0.6860
742,0.2419,0.6880
743,0.2447,0.6922
744,0.2406,0.6911
745,0.2379,0.6903
746,0.2412,0.6904
747,0.2506,0.6890
748,0.2447,0.6914
749,0.2488,0.6910
750,0.2360,0.6925
751,0.2368,0.6900
752,0.2377,0.6906
