Epoch,Train_Loss,Val_Score
1,1.0465,0.1527
2,0.9354,0.1572
3,0.8342,0.0000
4,0.7362,0.0000
5,0.6541,0.1792
6,0.5723,0.1713
7,0.5130,0.1817
8,0.4661,0.1953
9,0.4259,0.2234
10,0.3962,0.0890
11,0.3699,0.0682
12,0.3532,0.2850
13,0.3171,0.2420
14,0.2962,0.2640
15,0.2842,0.3694
16,0.2710,0.4384
17,0.2633,0.4764
18,0.2601,0.5153
19,0.2449,0.5171
20,0.2375,0.5211
21,0.2304,0.5487
22,0.2362,0.5630
23,0.2311,0.5654
24,0.2270,0.5814
25,0.2350,0.6227
26,0.2235,0.6577
27,0.2283,0.6603
28,0.2186,0.6624
29,0.2260,0.6655
30,0.2237,0.6689
31,0.2272,0.6682
32,0.2273,0.6706
33,0.2363,0.6765
34,0.2448,0.6878
35,0.2308,0.6920
36,0.2327,0.6909
37,0.2206,0.6917
38,0.2263,0.6920
39,0.2203,0.6914
40,0.2181,0.6849
41,0.2168,0.6870
42,0.2166,0.7000
43,0.2176,0.7010
44,0.2101,0.6989
45,0.2226,0.6963
46,0.2275,0.6917
47,0.2204,0.6888
48,0.2169,0.6890
49,0.2128,0.6875
50,0.2308,0.6873
51,0.2309,0.6905
52,0.2148,0.6858
53,0.2212,0.6859
54,0.2154,0.6850
55,0.2200,0.6840
56,0.2195,0.6837
57,0.2145,0.6785
58,0.2166,0.6796
59,0.2111,0.6771
60,0.2290,0.6840
61,0.2112,0.6785
62,0.2260,0.6812
63,0.2216,0.6840
64,0.2317,0.6871
65,0.2334,0.6899
66,0.2280,0.6873
67,0.2170,0.6797
68,0.2155,0.6838
69,0.2069,0.6840
70,0.2132,0.6845
71,0.2225,0.6844
72,0.2197,0.6841
73,0.2337,0.6855
74,0.2094,0.6911
75,0.2066,0.6840
76,0.2088,0.6590
77,0.2128,0.6616
78,0.1993,0.6658
79,0.2045,0.6713
80,0.1953,0.6821
81,0.1989,0.6744
82,0.2009,0.6768
83,0.2092,0.6763
84,0.2150,0.6784
85,0.1984,0.6808
86,0.1937,0.6810
87,0.1964,0.6756
88,0.1960,0.6757
89,0.1954,0.6761
90,0.2021,0.6784
91,0.1947,0.6808
92,0.1934,0.6824
93,0.1946,0.6730
94,0.2009,0.6714
95,0.1971,0.6767
96,0.1954,0.6780
97,0.2034,0.6775
98,0.1950,0.6764
99,0.1974,0.6813
100,0.1921,0.6842
101,0.1961,0.6827
102,0.1933,0.6817
103,0.1980,0.6857
