Epoch,Train_Loss,Val_Score
266,0.2354,0.6887
267,0.2366,0.6886
268,0.2406,0.6887
269,0.2377,0.6898
270,0.2369,0.6924
271,0.2406,0.6919
272,0.2357,0.6911
273,0.2467,0.6918
274,0.2382,0.6919
275,0.2394,0.6886
276,0.2354,0.6908
277,0.2372,0.6928
278,0.2345,0.6938
279,0.2490,0.6945
280,0.2394,0.6897
281,0.2350,0.6922
282,0.2378,0.6949
283,0.2357,0.6904
284,0.2370,0.6931
285,0.2371,0.6940
286,0.2409,0.6941
287,0.2347,0.6926
288,0.2340,0.6918
289,0.2406,0.6913
290,0.2358,0.6926
291,0.2335,0.6929
292,0.2330,0.6916
293,0.2337,0.6940
294,0.2337,0.6900
295,0.2420,0.6929
296,0.2336,0.6937
297,0.2456,0.6939
298,0.2353,0.6922
299,0.2317,0.6886
300,0.2346,0.6929
301,0.2348,0.6927
302,0.2346,0.6917
303,0.2382,0.6922
304,0.2338,0.6918
305,0.2331,0.6899
306,0.2396,0.6913
307,0.2326,0.6892
308,0.2347,0.6899
309,0.2488,0.6900
310,0.2310,0.6926
311,0.2306,0.6932
