Epoch,Train_Loss,Val_Score
1,1.2670,0.1527
2,1.0651,0.1527
3,0.9003,0.1435
4,0.7813,0.1559
5,0.7009,0.0626
6,0.6499,0.0110
7,0.6011,0.0006
8,0.5538,0.0258
9,0.5244,0.1615
10,0.4736,0.1376
11,0.4386,0.0547
12,0.4057,0.0125
13,0.3755,0.0527
14,0.3582,0.0463
15,0.3222,0.1125
16,0.3128,0.2762
17,0.3081,0.3446
18,0.3091,0.3891
19,0.3026,0.4351
20,0.2979,0.4573
21,0.2998,0.4882
22,0.2937,0.5140
23,0.2856,0.5193
24,0.2896,0.5229
25,0.2837,0.5467
26,0.2821,0.5767
27,0.2752,0.6060
28,0.2796,0.6329
29,0.2743,0.6526
30,0.2707,0.6634
31,0.2698,0.6734
32,0.2649,0.6824
33,0.2662,0.6856
34,0.2599,0.6864
35,0.2619,0.6845
36,0.2568,0.6795
37,0.2596,0.6814
38,0.2558,0.6868
39,0.2521,0.6924
40,0.2472,0.6980
41,0.2552,0.7034
42,0.2398,0.7124
43,0.2384,0.7151
44,0.2466,0.7188
45,0.2335,0.7185
46,0.2436,0.7165
47,0.2404,0.7149
48,0.2414,0.7143
49,0.2308,0.7130
50,0.2232,0.7092
51,0.2263,0.7135
52,0.2263,0.7143
53,0.2217,0.7139
54,0.2254,0.7133
55,0.2275,0.7139
56,0.2229,0.7127
57,0.2225,0.7167
58,0.2336,0.7164
59,0.2381,0.7164
60,0.2192,0.7176
61,0.2229,0.7154
62,0.2269,0.7169
63,0.2210,0.7177
64,0.2213,0.7166
65,0.2304,0.7136
66,0.2263,0.7104
67,0.2199,0.7119
68,0.2201,0.7111
69,0.2244,0.7111
70,0.2268,0.7121
71,0.2243,0.7125
72,0.2257,0.7139
73,0.2225,0.7146
